[18:26:30.998] F0F8:88
[18:26:30.998] 00F9:108
[18:26:30.998] 10F9:112
[18:26:30.998] 60F9:133
[18:26:31.008] 70F9:88
[18:26:31.008] 80F9:108
[18:26:31.008] 90F9:112
[18:26:31.008] B0F9:88
[18:26:31.015] C0F9:108
[18:26:31.015] E0F9:133
[18:26:31.015] 10FA:190
[18:26:31.109] 20FA:194
[18:26:31.109] 30FA:144
[18:26:31.109] 40FA:163
[18:26:31.109] 50FA:190
[18:26:31.109] 60FA:194
[18:26:31.109] 70FA:144
[18:26:31.119] 80FA:163
[18:26:31.119] 90FA:190
[18:26:31.119] A0FA:194
[18:26:31.119] B0FA:144
[18:26:31.119] C0FA:163
[18:26:31.119] D0FA:190
[18:26:31.128] E0FA:194
[18:26:31.128] 30FB:194
[18:26:31.209] 40FB:144
[18:26:31.209] 50FB:163
[18:26:31.209] 60FB:190
[18:26:31.209] 70FB:194
[18:26:31.209] 80FB:144
[18:26:31.209] 90FB:163
[18:26:31.220] A0FB:190
[18:26:31.220] B0FB:194
[18:26:31.229] C0FB:144
[18:26:31.229] D0FB:163
[18:26:31.229] E0FB:190
[18:26:31.229] F0FB:194
[18:26:31.229] 00FC:144
[18:26:31.229] 30FC:194
[18:26:31.229] 60FC:190
[18:26:31.307] 70FC:194
[18:26:31.307] 80FC:144
[18:26:31.307] 90FC:163
[18:26:31.317] A0FC:190
[18:26:31.317] B0FC:194
[18:26:31.317] D0FC:163
[18:26:31.328] E0FC:190
[18:26:31.328] F0FC:194
[18:26:31.328] 00FD:144
[18:26:31.328] 10FD:163
[18:26:31.328] 20FD:190
[18:26:31.328] 30FD:194
[18:26:31.328] 60FD:163
[18:26:31.407] 70FD:190
[18:26:31.407] 80FD:194
[18:26:31.407] 90FD:144
[18:26:31.418] A0FD:163
[18:26:31.418] B0FD:190
[18:26:31.418] C0FD:194
[18:26:31.418] D0FD:144
[18:26:31.418] E0FD:163
[18:26:31.418] F0FD:190
[18:26:31.429] 00FE:194
[18:26:31.429] 10FE:144
[18:26:31.429] 20FE:163
[18:26:31.429] 30FE:190
[18:26:31.429] 40FE:194
[18:26:31.429] 50FE:144
[18:26:31.429] 90FE:194
[18:26:31.509] A0FE:144
[18:26:31.509] B0FE:163
[18:26:31.509] C0FE:190
[18:26:31.516] D0FE:194
[18:26:31.516] E0FE:144
[18:26:31.516] F0FE:163
[18:26:31.516] 10FF:194
[18:26:31.528] 20FF:282
[18:26:31.528] 30FF:208
[18:26:31.528] 40FF:385
[18:26:31.528] 50FF:386
[18:26:31.539] 70FF:421
[18:26:31.539] 80FF:246
[18:26:31.548] 90FF:209
[18:26:31.548] A0FF:406
[18:26:31.548] B0FF:401
[18:26:31.552] C0FF:419
[18:26:31.617] D0FF:420
[18:26:31.617] E0FF:299
[18:26:31.617] 0000:431
[18:26:31.626] 1000:385
[18:26:31.626] 2000:389
[18:26:31.636] 7000:386
[18:26:31.649] 8000:387
[18:26:31.649] A000:246
[18:26:31.657] B000:209
[18:26:31.657] C000:406
[18:26:31.663] F000:419
[18:26:31.716] 1001:299
[18:26:31.729] 2001:210
[18:26:31.729] 3001:431
[18:26:31.729] 4001:385
[18:26:31.736] 5001:389
[18:26:31.736] 7001:282
[18:26:31.749] 8001:208
[18:26:31.749] 9001:385
[18:26:31.749] A001:386
[18:26:31.757] B001:387
[18:26:31.757] C001:421
[18:26:31.768] D001:246
[18:26:31.768] E001:209
[18:26:31.768] F001:406
[18:26:31.768] 0002:401
[18:26:31.815] 2002:420
[18:26:31.827] 3002:299
[18:26:31.827] 4002:210
[18:26:31.827] 5002:431
[18:26:31.837] 9002:282
[18:26:31.847] A002:208
[18:26:31.847] D002:387
[18:26:31.858] E002:421
[18:26:31.866] F002:246
[18:26:31.866] 0003:209
[18:26:31.866] 1003:406
[18:26:31.879] 4003:419
[18:26:31.930] 5003:420
[18:26:31.930] 6003:299
[18:26:31.930] 7003:210
[18:26:31.930] 8003:431
[18:26:31.938] 9003:385
[18:26:31.938] A003:389
[18:26:31.950] C003:282
[18:26:31.950] D003:208
[18:26:31.950] E003:385
[18:26:31.960] F003:386
[18:26:31.960] 0004:387
[18:26:31.960] 1004:421
[18:26:31.969] 2004:246
[18:26:31.969] 3004:209
[18:26:31.969] 4004:406
[18:26:31.973] 7004:401
[18:26:32.019] 9004:420
[18:26:32.027] A004:299
[18:26:32.036] B004:210
[18:26:32.036] C004:431
[18:26:32.036] D004:385
[18:26:32.044] E004:389
[18:26:32.044] 0005:282
[18:26:32.059] 1005:208
[18:26:32.059] 2005:385
[18:26:32.059] 3005:386
[18:26:32.059] 4005:387
[18:26:32.069] 5005:421
[18:26:32.069] 6005:246
[18:26:32.069] 7005:209
[18:26:32.075] 8005:406
[18:26:32.075] E005:431
[18:26:32.139] F005:385
[18:26:32.147] 0006:389
[18:26:32.147] 2006:282
[18:26:32.157] 3006:208
[18:26:32.157] 4006:385
[18:26:32.157] 5006:386
[18:26:32.168] 6006:387
[18:26:32.168] 7006:421
[18:26:32.168] 8006:246
[18:26:32.177] 9006:209
[18:26:32.177] A006:406
[18:26:32.177] E006:419
[18:26:32.228] F006:420
[18:26:32.237] 0007:299
[18:26:32.237] 1007:210
[18:26:32.237] 2007:431
[18:26:32.248] 3007:385
[18:26:32.248] 4007:389
[18:26:32.248] 5007:391
[18:26:32.255] pwd 123 ssid FAST_157
[18:26:32.255] airkiss exit
